,Count,word
582,39,of our
583,39,i dont
584,39,times
585,39,the new
587,39,major
588,39,all the
589,39,told
590,39,lyin
591,39,political
592,39,heading
593,39,phony
594,39,bernie sanders
595,39,governor
596,39,negative
597,38,united
598,38,lot
599,38,meeting
600,38,saturday
601,38,in new hampshire
606,38,rigged
607,38,he will
609,38,is in
611,38,are the
612,38,trumppence
613,38,romney
614,38,he was
615,38,love you
616,38,should be
618,37,about the
619,37,ivankatrump
620,37,office
621,37,crookedhillary
622,37,mikepence
623,37,winner
624,37,texas
625,37,nation
626,37,talking about
627,37,not a
628,37,incredible
629,36,indiana
630,36,failing nytimes
631,36,to see
632,36,will not
633,36,he has
635,36,house
636,36,will be back
637,36,to have
638,36,post
639,36,left
641,36,donaldjtrumpjr
642,36,need to
643,36,people are
645,36,i said
646,36,energy
647,36,press
649,36,that the
650,36,on me
651,36,spent
652,36,trade
653,35,against me
654,35,statement
655,35,will win
658,35,tax
659,35,will never
660,35,leadership
661,35,nbc
662,35,is the only
664,35,lyin ted
666,35,the world
667,35,policy
668,35,to all
669,35,be interviewed by
672,35,only one
673,34,report
674,34,released
675,34,chris
676,34,snl
677,34,out and
678,34,mccain
679,34,hillarys
680,34,wait
681,34,we must
683,34,make america safe
684,34,chance
685,34,president obama
686,34,america safe
687,34,for all
688,34,called
689,34,you have
690,34,a lot
691,34,crowds
693,33,economy
694,33,woman
695,33,care
696,33,the people of
698,33,great people
699,33,finally
700,33,by a
701,33,pme
702,33,highly
703,33,michigan
704,33,email
705,33,business
706,33,fair
707,33,plan
708,33,will be in
710,33,leads
711,32,to run
712,32,state of
713,32,we are going
714,32,radical
715,32,out amp
716,32,clinton is
717,32,trump for
718,32,for you
719,32,it will
721,32,to take
725,32,minutes
726,32,you trump
727,32,center
728,32,if you
729,32,dumb
730,32,united states
731,32,the way
732,31,look forward
735,31,reporting
736,31,and a
737,31,allowed
739,31,together we
740,31,great honor
741,31,realdonaldtrump will
744,31,loves
745,31,heading to
747,31,millions of
748,31,taxes
749,31,crazy
750,31,anncoulter
751,31,for realdonaldtrump
752,31,ready
753,31,lie
754,31,for our
755,31,week
756,31,won the
759,31,democrats
760,31,worse
761,31,questions
762,31,karlrove
764,31,the failing nytimes
765,31,horrible
767,30,demdebate
768,30,tedcruz
769,30,looking forward
770,30,pay
771,30,just out
772,30,spending
773,30,of a
774,30,word
775,30,stand
776,30,crippled
777,30,i would
778,30,on my
779,30,crippled america
780,30,in florida
781,30,with a
782,30,look forward to
783,30,of you
784,30,california
785,30,i think
786,30,if i
787,30,borders
788,30,looking forward to
789,30,twitter
790,30,police
791,30,cant wait
792,30,poll numbers
793,30,fitn
794,30,me on
796,30,fast
797,29,join us
798,29,hillary clinton is
799,29,the united
800,29,foxandfriends at
801,29,speaking
802,29,is now
803,29,a disaster
804,29,convention
807,29,back soon
808,29,life
809,29,mexico
810,29,mess
811,29,on seanhannity
812,29,new poll
813,29,save
814,29,ben
816,29,thousands
817,29,when he
818,29,voted
819,29,trump thank
820,29,there is
821,29,you were
823,29,trump thank you
824,29,the only one
825,29,https
826,29,the trump
827,28,rt erictrump
828,28,would have
829,28,unbelievable
830,28,beautiful
831,28,will do
832,28,get out amp
833,28,wins
834,28,tomorrow at
835,28,fun
836,28,friends
837,28,trump will
838,28,for your support
839,28,the united states
840,28,that is
841,28,we have
842,28,are not
844,28,michaelcohen
846,28,must be
848,28,go to
849,28,correct
850,28,trying to
851,28,not be
852,28,way to
854,28,do you
855,28,protect
856,28,joke
858,28,politician
859,28,more than
860,27,killed
861,27,signing
862,27,dems
863,27,on foxandfriends at
864,27,melania
865,27,politico
866,27,next president
867,27,beat hillary
868,27,many people
869,27,icymi
870,27,happen
871,27,close
872,27,judgement
873,27,days
874,27,to me
875,27,nice words
876,27,trump is the
877,27,respect
878,27,job on
879,27,wife
880,27,when i
881,27,the worst
882,27,realdonaldtrump we
883,27,vegas
884,27,the same
885,27,thank you america
886,27,friend
887,27,loved
888,27,at pme
889,27,talk about
890,27,you america
891,27,such a
892,27,the last
893,27,interview with
894,27,you so
895,27,islamic
897,27,tremendous
898,27,for me
899,26,who is
901,26,check
903,26,poll trump
904,26,donald trump is
905,26,my campaign
906,26,apologize
907,26,white
908,26,tuesday
909,26,to a
910,26,better than
911,26,realdonaldtrump the
912,26,rally in
913,26,cruz is
914,26,together we will
918,26,you soon
919,26,a good
920,26,speak
921,26,to talk
922,26,how to
923,26,i hope
924,26,stage
925,26,foreign
926,26,congratulations
927,26,elizabeth
928,26,you will
929,26,votes
930,26,have the
931,26,you makeamericagreatagain
932,26,forget
934,26,big crowd
935,26,nh
936,26,i won
938,25,our next
939,25,message
940,25,american people
941,25,military
942,25,great interview
943,25,the border
944,25,and vote
945,25,warren
946,25,see you soon
947,25,street
949,25,republican party
950,25,much better
951,25,iacaucus
952,25,are a
956,25,reagan
957,25,fbi
958,25,leaders
959,25,she has
960,25,terrorism
961,25,said that
963,25,to watch
964,25,no one
966,25,into the
967,25,cbs
968,25,television
969,25,amp the
970,25,victory
971,25,is going to
972,25,mitt
974,24,tune
975,24,biggest
977,24,be back soon
978,24,up the
979,24,choice
980,24,thebrodyfile
981,24,incompetent
982,24,great day
983,24,repeal
984,24,we can
985,24,interviewed on foxandfriends
986,24,las
987,24,the american people
988,24,boring
989,24,out to
990,24,to go
991,24,a major
992,24,get out and
994,24,you can
995,24,china
996,24,paul
997,24,cbsnews
998,24,so true
999,24,las vegas
1000,24,on fox
1001,24,thank you trump
1002,24,am in
1003,24,to talk about
1005,24,all over
1006,24,enforcement
1007,24,the next
1008,24,joenbc
1009,24,delegates
1010,24,with realdonaldtrump
1011,24,goofy
1013,24,hillary is
1014,24,pathetic
1016,23,did not
1017,23,todayshow
1018,23,just released
1019,23,for america
1020,23,that he
1021,23,am enjoy
1022,23,we love
1023,23,officers
1024,23,poll thank
1025,23,respected
1027,23,is no
1028,23,is a total
1029,23,amp vote
1030,23,awesome
1032,23,exciting
1033,23,law enforcement
1034,23,has no
1035,23,they have
1036,23,if he
1037,23,ready to
1038,23,reuters
1039,23,club
1040,23,pm enjoy
1042,23,the movement
1043,23,endorsed
1044,23,just got
